"Iteracja","Best Result","Worst Result","Average Cost"
"1","5531.9937","6681.758","5541.969936794705"
"2","5485.155","6639.4805","5496.341768391927"
"3","5494.985","6785.247","5505.84593641493"
"4","5493.6143","5987.198","5502.188361273871"
"5","5532.264","6819.7275","5552.900969780816"
"6","5531.9937","6273.2764","5536.933638509115"
"7","5481.8345","6226.0303","5488.336306423611"
"8","5382.1523","5979.2173","5384.231719292535"
"9","5490.8535","6594.2485","5500.676402452257"
"10","5436.3936","6824.5537","5450.441373697917"
