"Iteracja","Best Result","Worst Result","Average Cost","Iteration Time (ms)","OdchylenieStandardowe"
"1","5968.1113","7430.5034","417843","5509"
"2","5997.898","7096.594","418144","5691"
"3","5884.786","7170.192","414186","5532"
"4","6014.4453","7170.192","418077","5589"
"5","5892.4185","7170.192","414083","6088"
"6","5975.01","7170.192","417986","5644"
"7","5952.3804","7121.793","417503","5751"
"8","5992.1465","7163.309","418304","5781"
"9","5930.0967","7158.6597","414771","5990"
"10","5969.383","7170.192","417843","6114"
