"Iteracja","Best Result","Worst Result","Average Cost","Iteration Time (ms)","OdchylenieStandardowe"
"1","12907.285","17381.379","907711","4506"
"2","13058.05","16520.754","928780","4889"
"3","12847.859","16520.754","903652","4374"
"4","13087.635","16520.754","928374","4537"
"5","12947.535","16520.754","908640","4366"
"6","13106.485","16488.664","929419","4330"
"7","12839.04","16520.754","904080","4654"
"8","12908.045","16520.754","905353","4576"
"9","13044.206","16520.754","912346","4900"
"10","12930.891","16520.754","909976","5313"
