"Iteracja","Best Result","Worst Result","Average Cost","Iteration Time (ms)","OdchylenieStandardowe"
"1","24014.723","37455.074","1767034","14383"
"2","23374.037","36238.66","1725362","14022"
"3","23882.938","36238.66","1761848","14105"
"4","24310.22","35770.207","1775942","14153"
"5","23452.03","36238.66","1733221","14053"
"6","24401.348","35885.676","1779001","15542"
"7","23758.006","36238.66","1723942","15632"
"8","23836.785","36238.66","1759210","14188"
"9","23762.1","36238.66","1754997","14284"
"10","23624.752","36125.418","1735390","14764"
