"Iteracja","Best Result","Worst Result","Average Cost"
"1","34142.215","37425.895","35878.760481770834"
"2","34142.215","36987.87","35468.250227864584"
"3","33964.266","36449.816","35200.39416232639"
"4","33580.26","36632.297","34897.92095269097"
"5","33580.26","35860.41","34666.69048394097"
"6","33580.26","35590.164","34440.641861979166"
"7","33366.426","35582.555","34252.32847222222"
"8","33315.848","35920.75","34039.5001953125"
"9","33110.613","35704.527","33859.193131510416"
"10","33110.613","36304.703","33728.13933376736"
"11","32955.883","34528.906","33539.99092881945"
"12","32783.934","34813.113","33389.15786675347"
"13","32462.842","34562.77","33257.42786458333"
"14","32462.842","36151.89","33135.65689561632"
"15","32342.205","34864.8","32937.61494140625"
"16","32322.686","35839.605","32819.88373480903"
"17","32205.62","35757.82","32718.33123372396"
"18","32129.303","35766.92","32630.01947157118"
"19","31940.787","35782.594","32537.207221137152"
"20","31915.283","34192.76","32407.502354600696"
"21","31915.283","34883.332","32371.892724609374"
"22","31718.777","35324.58","32241.874793836807"
"23","31718.777","35284.625","32145.289084201388"
"24","31703.156","33441.08","32031.335611979168"
"25","31546.348","35299.402","31980.269525824653"
"26","31477.898","35444.582","31904.08109809028"
"27","31460.07","34769.543","31811.7911187066"
"28","31375.9","34721.56","31744.711653645834"
"29","31319.912","34389.316","31662.026378038194"
"30","31319.912","34335.746","31597.187136501736"
"31","31318.771","33171.08","31527.270220269096"
"32","31248.518","36450.508","31522.338861762153"
"33","31136.836","35368.848","31422.44757486979"
"34","31095.193","35852.914","31375.536941189235"
"35","31031.732","36675.805","31324.990261501734"
"36","31015.44","35878.098","31288.632850477432"
"37","30961.707","36309.06","31241.777202690973"
"38","30961.707","33768.707","31160.828559027777"
"39","30860.488","33425.004","31100.872688802083"
"40","30827.975","33723.652","31079.774110243055"
"41","30777.607","34984.297","31047.56945529514"
"42","30757.238","34824.168","30971.29808485243"
"43","30729.11","33081.586","30927.852511935766"
"44","30595.12","34995.176","30909.168950737847"
"45","30587.363","34078.957","30845.798703342014"
"46","30581.916","34455.33","30785.230756293404"
"47","30511.217","34494.98","30750.639659288194"
"48","30511.217","33894.37","30707.261181640624"
"49","30458.533","34345.484","30681.346223958335"
"50","30458.533","35268.41","30622.984884982638"
"51","30458.434","35592.97","30617.852663845486"
"52","30458.434","32697.562","30580.90501844618"
"53","30455.41","34741.516","30568.15716688368"
"54","30419.926","34236.86","30563.77701280382"
"55","30409.355","34379.71","30518.901063368055"
"56","30409.355","33291.895","30493.730669487846"
"57","30384.02","35978.285","30502.85241970486"
"58","30366.428","33799.42","30464.407590060764"
"59","30366.428","32815.383","30437.107259114582"
"60","30366.428","32133.652","30421.65756293403"
"61","30349.688","34206.42","30433.24382595486"
"62","30329.686","35262.86","30418.896451822915"
"63","30318.283","36697.258","30438.91716579861"
"64","30310.941","36252.473","30439.129074435765"
"65","30294.201","34862.93","30405.63898654514"
"66","30275.355","35615.32","30407.74378797743"
"67","30234.299","35414.098","30353.79693467882"
"68","30234.299","36078.125","30398.365554470485"
"69","30234.299","35067.113","30355.571858723957"
"70","30234.299","37132.27","30351.757953559027"
"71","30212.838","31265.543","30302.48757595486"
"72","30210.441","35108.965","30329.94281141493"
"73","30194.648","35380.42","30297.9763671875"
"74","30188.473","35223.73","30305.87019314236"
"75","30188.473","34498.805","30286.091547309028"
"76","30154.988","33875.074","30302.71068250868"
"77","30138.01","36438.316","30275.278255208334"
"78","30132.514","33822.383","30241.538031684027"
"79","30125.041","33368.254","30219.153640407985"
"80","30104.525","34325.895","30188.669894748266"
"81","30081.201","34825.45","30176.83822699653"
"82","30081.201","32360.5","30155.288519965277"
"83","30068.152","33644.684","30145.896598307292"
"84","30040.244","35010.59","30177.78726671007"
"85","30040.244","31622.07","30103.37521701389"
"86","30040.244","35398.605","30126.72511393229"
"87","30033.072","36004.94","30097.764029947917"
"88","30033.072","36164.324","30103.197124565973"
"89","30033.072","35752.87","30114.508897569445"
"90","30033.072","36167.88","30119.90580512153"
"91","29987.307","33639.6","30068.75085720486"
"92","29980.143","33923.902","30074.522292751735"
"93","29980.143","34834.992","30094.023638237846"
"94","29947.314","33152.715","30066.72349717882"
"95","29922.53","34608.426","30069.77337782118"
"96","29922.53","31481.78","30012.825716145835"
"97","29913.262","34430.2","30020.2322265625"
"98","29882.53","34084.523","30027.718712022568"
"99","29880.434","34223.465","29971.58287217882"
"100","29880.434","36323.484","30000.75959201389"
"101","29846.934","34916.38","29961.86343858507"
"102","29846.934","32801.977","29920.650689019098"
"103","29846.934","34756.258","29955.36490342882"
"104","29846.934","32507.611","29898.49369574653"
"105","29830.96","35602.3","29931.447916666668"
"106","29828.865","32710.715","29909.056233723957"
"107","29828.865","35488.867","29916.3552734375"
"108","29825.473","35766.594","29919.33224283854"
"109","29825.473","33550.02","29884.878428819444"
"110","29800.693","35254.54","29869.22822265625"
"111","29770.678","33641.945","29875.840581597222"
"112","29760.82","34408.44","29900.504833984374"
"113","29760.82","33355.566","29860.28445638021"
"114","29758.725","34105.883","29847.36160481771"
"115","29755.332","32445.879","29817.235319010415"
"116","29740.41","34288.777","29820.631353081597"
"117","29700.537","36559.848","29822.822471788193"
"118","29700.537","34609.316","29812.201334635418"
"119","29700.537","33831.504","29773.5201171875"
"120","29700.537","36376.95","29762.880240885417"
"121","29685.156","33261.254","29742.29109157986"
"122","29685.156","31057.387","29715.86990559896"
"123","29661.896","35664.793","29738.5626030816"
"124","29661.896","34263.895","29755.401253255208"
"125","29651.95","33185.016","29740.880246310764"
"126","29647.479","33739.883","29736.511344401042"
"127","29618.785","35228.934","29705.29298502604"
"128","29610.934","34876.69","29716.94037000868"
"129","29610.934","33047.312","29691.522981770835"
"130","29608.838","34327.61","29700.12865125868"
"131","29576.719","33292.418","29699.884673394095"
"132","29570.445","35017.062","29655.13894856771"
"133","29533.049","34409.43","29665.182671440973"
"134","29533.049","35455.29","29650.438704427084"
"135","29533.049","33569.355","29612.532666015624"
"136","29533.049","33065.227","29602.804036458332"
"137","29487.154","34332.164","29608.148269314235"
"138","29487.154","36156.04","29597.62249891493"
"139","29487.154","34629.88","29609.720024956598"
"140","29487.154","35532.074","29566.331260850693"
"141","29443.307","33007.97","29542.719851345486"
"142","29443.307","33535.69","29556.90626627604"
"143","29438.27","35803.773","29535.358208550348"
"144","29430.393","33704.72","29523.961979166666"
"145","29409.639","32213.156","29503.913373480904"
"146","29393.818","35267.363","29518.719715711806"
"147","29382.053","33438.63","29509.151117621528"
"148","29382.053","33075.406","29456.61318359375"
"149","29366.232","36615.52","29464.042371961805"
"150","29366.232","35233.938","29415.918256293404"
"151","29294.467","32766.012","29424.207058376734"
"152","29294.467","33210.656","29429.744677734376"
"153","29294.467","33789.363","29434.106103515624"
"154","29294.467","33750.367","29423.103982204862"
"155","29294.467","35363.652","29449.161615668403"
"156","29294.467","35545.758","29418.138481987848"
"157","29284.68","34753.008","29403.548996310765"
"158","29284.68","33308.836","29390.365321180554"
"159","29282.03","33592.51","29372.34699435764"
"160","29263.852","35315.684","29378.96999782986"
"161","29237.87","33095.832","29323.531125217014"
"162","29237.87","34548.953","29333.686257595487"
"163","29221.227","34253.547","29335.397509765626"
"164","29221.227","35522.51","29318.59812825521"
"165","29209.627","32748.705","29303.22001953125"
"166","29193.01","33866.484","29292.375037977432"
"167","29173.125","32004.531","29247.344949001737"
"168","29160.135","34422.34","29269.21304796007"
"169","29160.135","35101.04","29292.785319010418"
"170","29149.262","35468.785","29296.455159505207"
"171","29132.027","34540.867","29276.649544270833"
