"Iteracja","Best Result","Worst Result","Average Cost"
"1","20987.693","28887.645","21057.6376953125"
"2","21045.873","33843.566","21148.304725477432"
"3","20958.514","28561.344","21039.76566840278"
"4","20958.303","35887.637","21104.78281792535"
"5","20918.203","29869.22","21002.82843424479"
"6","21030.73","30428.012","21197.990831163195"
"7","20954.375","30949.412","21042.074110243055"
"8","21154.965","34235.258","21301.80865342882"
"9","21056.229","34999.113","21210.822998046875"
"10","20861.688","31100.283","21050.527685546876"
